Film,Major Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in Opening Weekend,Box Office Average per US Cinema (Opening Weekend),Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Market Profitability,Opening Weekend,Oscar,Bafta,Source,,Domestic Gross,Foreign Gross,Domestic Gross,Foreign Gross,worldwide,Budget,budget
,,,,,,,($),($m),($m),($m),,% of budget recovered,,,,all boxofficemojo.com except otherwise stated,,($m),($m),($m),($m),($m),($m),
Space Chimps,Independent*,36,37,Transformation,Animation,2511,2860,30.11,34.73,64.83,37.00,175.22%,7.18,,,"* Co-production partnership with Digital Production Studios, a subsidiary of IDT Media.",,30.11,34.73,30105968,,63.8,37000000,37
The Bank Job,Independent,78,74,Quest,Thriller,1603,3702,30.06,34.76,64.82,20.00,324.11%,5.94,,,,,30.06,34.76,30060660,,63.8,20000000,20
Untraceable,Independent,14,56,riddle,Thriller,2368,4795,28.69,23.97,52.66,35.00,150.45%,11.4,,,,,28.69,23.97,28687835,,52.5,35000000,35
The Women,Warner Bros.,13,41,Transformation,Drama,2962,3415,26.90,23.11,50.01,16.00,312.54%,10.12,,,,,26.90,23.11,26902075,,46.1,16000000,16
One Missed Call,Warner Bros.,0,36,Monster Force,Horror,2240,5585,26.89,18.96,45.85,20.00,229.24%,12.5,,,,,26.89,17.62,26890041,,44.5,20000000,20
The Other Boleyn Girl,Independent,41,65,tragedy,Drama,1166,7035,26.81,50.90,77.71,40.00,194.28%,8.2,,,,,26.81,50.90,26814957,,77.2,40000000,40
Street Kings,Fox,37,62,The Riddle,Action,2467,5054,26.42,39.15,65.57,20.00,327.86%,12.5,,,,,26.42,39.15,26418667,,63.6,20000000,20
Shutter,Fox,7,40,Monster Force,Horror,2753,3794,25.93,21.95,47.88,8.00,598.48%,10.5,,,http://boxofficemojo.com/movies/?id=shutter.htm,,25.93,21.95,25928550,,47.8,,0
Superhero Movie,The Weinstein Company,15,36,Comedy,Comedy,2960,3212,25.88,45.36,71.24,65.00,109.60%,9.51,,,,,25.87,45.35,25874034,,71.1,65000000,65
W.,Lionsgate,60,42,rivalry,Drama,2030,5175,25.53,3.97,29.51,25.10,117.55%,10.5,,,http://boxofficemojo.com/movies/?id=w.htm,,25.53,3.97,25534493,,29,25100000,25.1
Never Back Down,Summit,23,37,Rivalry,Action,2729,3152,24.85,16.78,41.63,21.00,198.22%,8.6,,,,,24.85,16.78,24850922,,41.6,21000000,21
Traitor,Liberty Starz,55,66,Pursuit,Thriller,2054,3831,23.53,4.13,27.66,22.00,125.74%,7.9,,,,,23.53,4.13,23530831,,25.3,22000000,22
Vicky Cristina Barcelona,The Weinstein Company,82,73,temptation,Romance,692,5427,23.22,73.19,96.41,16.00,602.55%,3.76,,,http://boxofficemojo.com/movies/?id=vickycristinabarcelona.htm,,22.84,73.19,22835000,,77.2,16000000,16
Babylon A.D.,Fox,7,32,quest,Action,3390,2798,22.53,49.58,72.11,45.00,160.24%,9.5,,,,,22.53,47.68,22531698,,70.6,45000000,45
The X-Files: I Want to Believe,Fox,32,34,monster force,Thriller,3185,3147,20.98,47.39,68.37,35.00,195.34%,10.1,,,,,20.98,47.39,20982478,,68.3,35000000,35
Mad Money,Independent,22,51,Comedy,Comedy,2470,3132,20.67,5.74,26.41,22.00,120.05%,7.74,,,,,20.67,5.74,20668843,,26.1,22000000,22
Appaloosa,Warner Bros.,77,55,Rescue,Action,1045,4833,20.21,7.45,27.67,20.00,138.33%,5,,,,,20.07,7.52,20070952,,25.9,20000000,20
Igor,Independent,36,42,Temptation,Animation,2339,,19.53,11.22,30.75,30.00,102.49%,7.8,,,,,19.44,11.22,19444296,,27.6,30000000,30
My Best Friend's Girl,Lionsgate,14,51,Comedy,Comedy,2604,3174,19.22,22.40,41.62,20.00,208.11%,8.27,,,,,19.22,22.40,19219250,,36.2,20000000,20
Doubt,Independent,78,75,riddle,Drama,1267,4214,33.45,17.46,50.91,25.00,203.62%,5.3,,,,,18.73,17.46,18730000,,18.7,25000000,25
The Spirit,Lionsgate,14,29,rivalry,Action,2509,2576,19.81,19.23,39.03,6.00,650.52%,6.5,,,,,17.75,19.23,17754000,,21.5,6000000,6
Kit Kittredge: An American Girl,Warner Bros.,78,26,riddle,Drama,,,17.66,,17.66,10.00,176.57%,3.3,,,,,17.66,N/A,17657973,,17.7,10000000,10
The Ruins,Paramount,46,32,rescue,Horror,2812,2846,17.43,5.30,22.73,25.00,90.91%,8,,,,,17.43,5.30,17432844,,22.6,25000000,25
88 Minutes,Sony,5,51,The Riddle,Drama,2168,3209,17.21,15.38,32.59,30.00,108.64%,7,,,,,17.21,15.37,16930884,15379918,32310802,30000000,30
Swing Vote,Disney,36,44,maturation,Comedy,2213,2815,16.29,1.34,17.63,20.00,88.17%,6.23,,,,,16.29,1.34,16289867,,33.4,20000000,20
Pride & Glory,Warner Bros.,34,54,Temptation,Crime,2585,2423,15.74,15.41,31.15,30.00,103.82%,6.26,,,,,15.74,15.41,15740721,,23.8,30000000,30
Bangkok Dangerous,Lionsgate,9,33,pursuit,Action,2650,2937,15.30,27.19,42.49,45.00,94.42%,7.8,,,,,15.30,31.30,15298133,,39.4,45000000,45
Disaster Movie,Lionsgate,2,28,Rescue,Comedy,2642,2209,14.19,20.63,34.82,20.00,174.08%,5.8,,,,,14.19,20.62,14190901,,34.5,20000000,20
The Duchess,Paramount,60,68,Love,Drama,,,13.85,29.46,43.31,13.50,320.78%,3.3,,,,,13.85,29.46,13848978,,34.3,13500000,13.5
The Haunting of Molly Hartley,Independent,3,22,sacrifice,Horror,2652,2045,13.56,1.86,15.42,5.00,308.34%,5.4,,,,,13.56,1.33,13477895,,,5000000,5
Ghost Town,Paramount,85,60,transformation,Comedy,1505,3330,13.37,13.71,27.07,20.00,135.37%,5.01,,,,,13.25,13.71,13252641,,24,20000000,20
Religulous,Lionsgate,70,78,comedy,Documentary,502,6792,13.01,0.63,13.64,2.50,545.52%,3.41,,,http://www.the-numbers.com/movies/2008/RELIG.php,,13.01,0.12,13011160,,,2500000,2.5
Rachel Getting Married,Independent,85,61,love,Drama,9,32597,12.80,3.83,16.62,12.00,138.52%,0.29,,,http://www.the-numbers.com/movies/2008/RGMRD.php,,12.79,3.82,10326000,,,12000000,12
The Pirates Who Don't Do Anything,Universal,41,,Fish Out of Water,,,,12.98,0.17,13.15,15.00,87.69%,4.25,,,,,12.73,0.17,12727025,,,15000000,15
Under the Same Moon,Weinstein Co.,72,37,Quest,,266,10412,12.59,10.72,23.31,1.70,1371.24%,2.8,,,http://boxofficemojo.com/movies/?id=underthesamemoon.htm,,12.59,10.72,12590147,,23,1700000,1.7
Miss Pettigrew Lives for a Day,Independent,78,70,Love,Comedy,535,4655,12.31,4.41,16.72,60.00,27.87%,2.49,,,,,12.31,2.86,12313694,,,60000000,60
Soul Men,The Weinstein Company,45,42,Comedy,Comedy,2044,2643,12.08,0.25,12.33,0.00,,5.4,,,http://www.boxofficemojo.com/movies/?id=soulmen.htm,,12.08,0.25,12009235,,,,0
Meet Dave,Fox,19,42,Fish Out of Water,Adventure,3011,1744,11.80,38.85,50.65,60.00,84.42%,5.25,,,,,11.80,38.85,11803254,,50.5,60000000,60
The Longshots,Independent,39,39,Quest,Comedy,2089,1953,11.54,0.23,11.77,30.00,39.22%,4,,,,,11.51,0.23,11511323,,,30000000,30
"Be Kind, Rewind",New Line,65,57,Comedy,Comedy,808,5013,11.18,19.40,30.58,20.00,152.88%,4.05,,,,,11.18,19.40,11175164,,29.3,20000000,20
Doomsday,Relativity Media,48,47,Quest,Action,1936,2544,11.01,11.20,22.21,33.00,67.30%,4.9,,,,,11.01,11.20,11008770,,21.6,33000000,33
Stop-Loss,Paramount,65,27,Tragedy,Drama,1291,3528,10.92,0.29,11.21,25.00,44.82%,4.56,,,http://www.the-numbers.com/movies/2008/STOPL.php,,10.92,0.26,10915744,,,25000000,25
Penelope,Summit,52,74,love,Comedy,,,10.01,11.14,21.16,15.00,141.03%,3.8,,,,,10.01,10.73,10011996,,20.8,15000000,15
The Express,Independent,62,73,Maturation,Biopic,2808,1625,9.79,0.01,9.81,37.50,26.15%,4.56,,,http://www.the-numbers.com/movies/2008/EXPRS.php,,9.79,0.01,9643725,,,37500000,37.5
Smart People,Independent,50,41,Transformation,Comedy,1106,3700,9.51,2.33,11.84,7.00,169.19%,4.09,,,http://www.the-numbers.com/movies/2008/SMPEP.php,,9.51,2.14,9511289,,,7000000,7
The Visitor,Independent,92,83,Transformation,Drama,,,9.43,8.65,18.08,4.00,451.95%,0.09,,,http://www.the-numbers.com/movies/2008/VISTR.php,,9.43,8.65,9427089,,,4000000,4
The Boy in the Striped Pyjamas,Independent,63,84,Tragedy,Drama,,,9.05,31.37,40.42,12.50,323.33%,1.03,,,,,8.70,31.37,8704790,,33,12500000,12.5
Sex Drive,Summit,46,61,Journey and Return,Adventure,2421,1490,8.40,10.35,18.76,19.00,98.71%,3.61,,,http://boxofficemojo.com/movies/?id=sexdrive.htm,,8.40,10.35,8402485,,,19000000,19
