Film,Lead Studio,Rotten Tomatoes,Audience  score,Story,Genre,Number of Theatres in Opening Weekend (US),Box Office Average per US Cinema (Opening Weekend),Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Proftitability,Opening Weekend,Oscar,Bafta,Source,,,,,,
,,,,,,,($),($m),($m),($m),($m),% of budget recovered,($m),,,,,,,,,
Saw 3-D,Independent,10,47,Escape,Crime,2808,8024,45.71,90.44,136.15,20,680.75%,22.53,,,,,,,,,
Scott Pilgrim vs. the World,Universal,81,83,Underdog,Action,2818,3765,31.52,16.14,47.66,60,79.43%,10.6,,,,,,,,,
Sex and the City 2,Warner Bros.,15,49,Love,Comedy,3445,8999,95.35,193.00,288.347,100,288.35%,31,,,,,,,,,
She's Out of My League,Paramount,57,60,Love,Comedy,2956,3307,32.01,17.77,49.778,20,248.89%,9.8,,,,,,,,,
Shrek Forever After,Paramount,57,64,Journey and Return,Animation,4359,16251,238.74,513.86,752.604,165,456.12%,70.8,,,,,,,,,
Shutter Island,Paramount,68,73,The Riddle,Drama,2991,13729,128.01,166.79,294.802,80,368.50%,41,,,,,,,,,
Skyline,Independent,16,19,Monster Force,Action,2880,4060,21.39,45.43,66.817,10,668.17%,11.69,,,,,,,,,
Solitary Man,Independent,81,47,Wretched Excess,Comedy,4,23734,4.36,0.82,5.178,15,34.52%,0.09,,,,,,,,,
Step Up 3D,Summit,46,67,Transformation,Drama,2435,6494,42.40,116.89,159.291,30,530.97%,15.8,,,http://www.the-numbers.com/movies/2009/ABSTV.php,,,,,,
Stone,Independent,49,20,Rivalry,Drama,6,12628,1.81,7.67,9.479,22,43.09%,0.075,,,,,,,,,
Takers,Sony,27,57,Rivalry,Action,2206,9298,57.74,11.31,69.05,32,215.78%,20.5,,,,,,,,,
Tangled,Disney,89,88,Love,Animation,3603,13535,200.82,390.97,591.794,260,227.61%,48.77,,,,,,,,,
The A-Team,Fox,47,71,Pursuit,Action,3535,7262,77.22,100.02,177.236,100,177.24%,25.7,,,,,,,,,
The American,Universal,66,37,Rivalry,Crime,2823,4668,35.61,32.27,67.875,20,339.38%,13.1,,,,,,,,,
The Back-up Plan,CBS,20,47,Love,Comedy,3280,3720,37.49,39.99,77.477,35,221.36%,12.2,,,,,,,,,
The Book of Eli,Independent,48,68,Quest,Action,3111,10540,94.84,62.27,157.107,80,196.38%,32.7,,,,,,,,,
The Bounty Hunter,Sony,7,41,Rivalry,Action,3074,6729,67.06,69.27,136.333,40,340.83%,20.7,,,http://boxofficemojo.com/movies,,,,,,
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,49,63,Quest,Adventure,3555,6752,104.39,311.30,415.685,155,268.18%,24,,,,,,,,,
The Crazies,Liberty Starz,72,54,Monster Force,Horror,2476,6489,39.12,15.68,54.803,20,274.02%,16.07,,,http://boxofficemojo.com/movies/?id=crazies.htm,,,,,,
The Expendables,Independent,40,58,Pursuit,Action,3270,10650,103.07,171.40,274.469,82,334.72%,34.8,,,,,,,,,
The Fighter,Paramount,91,88,Underdog,Drama,2503,4848,93.62,35.54,129.154,25,516.62%,12,"Sup. Actor, Sup. Actress",,,,,,,,
The Ghost Writer,Summit,83,68,The Riddle,Mystery,819,2520,15.54,44.68,60.22,45,133.82%,2,,,,,,,,,
